timestamp,gyro(x),gyro(y),gyro(z)
1618975178913,0.06575012,0.06954956,0.014343262
1618975179114,0.003967285,-0.0048065186,0.0028381348
1618975179327,0.020477295,0.0152282715,0.009552002
1618975179512,0.023880005,0.033111572,8.087158E-4
1618975179712,0.0070495605,0.011810303,0.007095337
1618975179919,-0.013397217,-0.013641357,-0.0010070801
1618975180113,-0.0068969727,-0.010665894,-0.0022735596
1618975180312,0.017700195,0.0152282715,0.0054016113
1618975180514,1.2207031E-4,0.0178833,-0.009735107
1618975180712,-0.040359497,-0.01802063,-0.0066375732
1618975180911,-0.031082153,-0.015670776,-0.0059051514
1618975181110,0.009506226,0.0019073486,0.0060272217
1618975181322,-0.012649536,-0.0025634766,-0.0035552979
1618975181511,0.0015106201,-0.002456665,4.8828125E-4
1618975181711,0.045928955,0.039718628,0.0155181885
1618975181910,-0.02267456,-0.024612427,-0.0053710938
1618975182115,0.009399414,0.004776001,0.00390625
1618975182309,-9.3078613E-4,-0.0021362305,0.007095337
1618975182510,-0.013183594,-0.009490967,-0.0054779053
1618975182708,-0.0019989014,-2.2888184E-4,-1.5258789E-4
1619034671721,1.5258789E-5,6.2561035E-4,3.8146973E-4
1619034671921,-5.0354004E-4,3.0517578E-4,3.8146973E-4
1619034672121,-3.9672852E-4,4.119873E-4,2.746582E-4
1619034672321,-1.9836426E-4,3.0517578E-4,2.746582E-4
1619034672520,1.5258789E-5,3.0517578E-4,6.1035156E-5
1619034672720,-9.1552734E-5,3.0517578E-4,3.8146973E-4
1619034672920,-9.1552734E-5,5.187988E-4,2.746582E-4
1619034673120,-9.1552734E-5,6.2561035E-4,3.8146973E-4
1619034673360,-1.9836426E-4,9.1552734E-5,3.8146973E-4
1619034673519,-9.1552734E-5,5.187988E-4,1.6784668E-4
1619034673719,-4.7302246E-4,7.6293945E-5,-1.5258789E-5
1619034673918,4.5776367E-5,-2.4414062E-4,9.1552734E-5
1619034674118,4.5776367E-5,-5.645752E-4,-1.5258789E-5
1619034674318,-1.5258789E-4,-3.0517578E-5,9.1552734E-5
1619034674517,-1.5258789E-4,-1.373291E-4,-1.2207031E-4
1619034674718,3.6621094E-4,-3.5095215E-4,9.1552734E-5
1619034674918,-1.5258789E-4,-2.4414062E-4,9.1552734E-5
1619034675117,-6.1035156E-5,-3.0517578E-5,-5.493164E-4
1619034675318,3.6621094E-4,-3.0517578E-5,9.1552734E-5
1619034675517,4.7302246E-4,-1.373291E-4,-1.2207031E-4
1619034675716,9.0026855E-4,1.8310547E-4,-1.5258789E-5
1619034675915,6.866455E-4,1.8310547E-4,-4.4250488E-4
1619034676275,9.0026855E-4,7.6293945E-5,9.1552734E-5
1619034676315,1.5258789E-4,7.6293945E-5,-1.5258789E-5
1619034676515,4.7302246E-4,-1.373291E-4,-1.2207031E-4
1619034676715,6.866455E-4,7.6293945E-5,4.119873E-4
1619034677074,5.79834E-4,-0.0013122559,9.1552734E-5
1619034677274,-1.6784668E-4,0.0018920898,-1.2207031E-4
1619034677474,-1.5258789E-4,-1.373291E-4,-2.2888184E-4
1619034677674,-3.6621094E-4,-3.0517578E-5,1.9836426E-4
1619034677884,4.5776367E-5,7.6293945E-5,-1.2207031E-4
1619034678073,-1.5258789E-4,-3.5095215E-4,-1.5258789E-5
1619034678273,-3.6621094E-4,3.9672852E-4,9.1552734E-5
1619034678473,-3.6621094E-4,1.8310547E-4,1.9836426E-4
1619034678673,2.593994E-4,1.8310547E-4,-4.4250488E-4
1619034678872,-6.1035156E-5,7.6293945E-5,-1.5258789E-5
1619034679072,-4.5776367E-5,2.89917E-4,9.1552734E-5
1619034679272,-1.5258789E-4,3.9672852E-4,-1.5258789E-5
1619034679471,5.79834E-4,1.8310547E-4,1.9836426E-4
1619034679671,4.5776367E-5,-1.373291E-4,-3.3569336E-4
1619034679870,3.6621094E-4,7.6293945E-5,-2.2888184E-4
1619034679995,3.6621094E-4,-2.4414062E-4,-2.2888184E-4
1619034680190,1.5258789E-4,-1.373291E-4,-3.3569336E-4
1619034680390,-6.1035156E-5,-1.373291E-4,-5.493164E-4
1619034680590,2.593994E-4,-1.373291E-4,-3.3569336E-4
1619034680790,2.593994E-4,-3.5095215E-4,-4.4250488E-4
1619034680990,2.593994E-4,1.8310547E-4,-4.4250488E-4
1619034681190,4.5776367E-5,-3.0517578E-5,9.1552734E-5
1619034681392,-2.746582E-4,1.8310547E-4,-3.3569336E-4
1619034681589,-3.6621094E-4,7.6293945E-5,-2.2888184E-4
1619034681789,-1.6784668E-4,-3.0517578E-5,-2.2888184E-4
1619034681988,1.5258789E-4,-3.5095215E-4,-1.5258789E-5
1619034682188,-1.5258789E-4,1.8310547E-4,-3.3569336E-4
1619034682388,4.5776367E-5,-2.4414062E-4,-3.3569336E-4
1619034682588,-6.1035156E-5,-3.5095215E-4,9.1552734E-5
1619034682789,1.5258789E-4,3.9672852E-4,-5.493164E-4
1619034682991,2.593994E-4,-3.5095215E-4,-1.5258789E-5
1619034683207,-2.593994E-4,7.6293945E-5,1.9836426E-4
1619034683388,-2.593994E-4,1.8310547E-4,-1.2207031E-4
1619034683587,3.6621094E-4,2.89917E-4,-1.5258789E-5
