,pressStart,pressStop,label,mean gyro(y),mean gyro(z)
0,1619040830831,1619040830868,1,,
1,1619040831682,1619040831733,3,4.5899642667414723e-05,-0.0004388408554573609
2,1619040832503,1619040832550,7,,
3,1619040833422,1619040833478,9,-0.00022863527066517052,-0.00034362409391472176
4,1619040834440,1619040834491,2,3.088741600224424e-05,-0.00035521885537208265
5,1619040835335,1619040835425,8,,
6,1619040836276,1619040836344,4,,
7,1619040837220,1619040837264,6,0.000504033152669659,-0.0002600020938294435
8,1619040838082,1619040838129,5,,
9,1619040838984,1619040839042,0,,
10,1619040849028,1619040849084,1,0.0008703673693370738,-0.0005920314292868044
11,1619040850325,1619040850378,3,,
12,1619040851280,1619040851357,7,,
13,1619040852260,1619040852361,9,,
14,1619040853137,1619040853184,2,,
15,1619040853963,1619040854004,8,,
16,1619040854870,1619040854949,4,,
17,1619040855761,1619040855824,6,,
18,1619040856495,1619040856531,5,,
19,1619040857323,1619040857376,0,,
20,1619040868496,1619040868555,1,,
21,1619040869440,1619040869498,3,,
22,1619040870289,1619040870345,7,,
23,1619040871132,1619040871194,9,,
24,1619040872045,1619040872103,2,,
25,1619040873010,1619040873082,8,0.0008094554890044885,-0.0006036261907441653
26,1619040873935,1619040873989,4,,
27,1619040874815,1619040874864,6,,
28,1619040875638,1619040875701,5,0.0009621666556719032,-0.0008288439962015261
29,1619040876523,1619040876609,0,,
30,1619040938720,1619040938788,1,0.000611337782339318,-0.000550521761658887
31,1619040939612,1619040939688,3,,
32,1619040941663,1619040941724,7,,
33,1619040942501,1619040942588,9,0.00047413195900673273,-0.00016538800711624784
34,1619040943403,1619040943462,2,,
35,1619040944221,1619040944293,8,,
36,1619040945095,1619040945150,4,0.0006573607056741474,0.00011293422742639128
37,1619040945917,1619040945995,6,0.0001997203123415622,7.082188796903041e-05
38,1619040946958,1619040947052,5,,
39,1619040947785,1619040947864,0,,
40,1619040959021,1619040959098,1,,
41,1619040959850,1619040959920,3,0.0002761375330089769,-7.810197748833045e-05
42,1619040960826,1619040960890,7,,
43,1619040961941,1619040962017,9,,
44,1619040962938,1619040962989,2,,
45,1619040963881,1619040963957,8,0.00013893170967639162,9.340872705430867e-05
46,1619040964727,1619040964804,4,,
47,1619040965551,1619040965612,6,,
48,1619040966415,1619040966475,5,,
49,1619040967227,1619040967295,0,0.00021534893034380633,0.0002649194315969478
50,1619040979757,1619040979830,1,,
51,1619040980601,1619040980654,3,,
52,1619040981484,1619040981543,7,0.000612200717011221,0.00032961861513958695
53,1619040982435,1619040982514,9,0.0003681833636786357,0.0005011293196822261
54,1619040983331,1619040983370,2,,
55,1619040984271,1619040984339,8,0.00023097754034605045,0.0006726400242248652
56,1619040985074,1619040985142,4,-0.0002266628529865348,0.0007373392077675044
57,1619040985868,1619040985947,6,-0.0004706802063191201,0.0009088499123101435
58,1619040986641,1619040986718,5,-0.0007146975596517054,0.0006531145268527826
59,1619040987470,1619040987539,0,-0.0008519033829842908,0.0005041906613954218
60,1619041002702,1619041002762,1,,
61,1619041003442,1619041003514,3,-0.000760227376316876,0.0009198419959380609
62,1619041004238,1619041004343,7,-0.0004549283196494613,0.0009082472344807
63,1619041005113,1619041005199,9,,
64,1619041007072,1619041007138,4,,
65,1619041007925,1619041007980,6,,
66,1619041008746,1619041008827,2,,
67,1619041009543,1619041009621,8,,
68,1619041010291,1619041010338,5,,
69,1619041011080,1619041011132,0,,
70,1619041053130,1619041053182,1,,
71,1619041053952,1619041054005,3,-0.0005310989889820466,0.0009576876290233391
72,1619041054977,1619041055045,7,-0.00018002356231463184,0.001327562593565978
73,1619041055711,1619041055798,9,-0.0004698172756472171,0.0011633799381086172
74,1619041056489,1619041056568,2,,
75,1619041057287,1619041057347,8,,
76,1619041058115,1619041058186,4,-0.0004391764219798024,0.0014264433826512565
77,1619041058836,1619041058913,6,,
78,1619041059725,1619041059823,5,-0.0004085355683123877,0.0015826952971938956
79,1619041060581,1619041060644,0,-0.0006983292816449729,0.001845758741736535
80,1619041080034,1619041080103,1,,
81,1619041081136,1619041081198,3,-0.0005608769049775581,0.001574764566279174
82,1619041082071,1619041082150,7,,
83,1619041082974,1619041083069,9,,
84,1619041083937,1619041083995,2,-0.0007438590983101434,0.001517393440821813
85,1619041084725,1619041084808,8,-0.0007132182446427287,0.0015668338353644522
86,1619041085814,1619041085874,4,,
87,1619041086669,1619041086773,6,-0.0006825773909753139,0.0017230857499070914
88,1619041087641,1619041087736,5,,
89,1619041088513,1619041088577,0,-0.0004383135043078992,0.0014520915744497304
90,1619041109394,1619041109452,1,1.9573442359515497e-05,0.0013947204489923694
91,1619041110247,1619041110300,3,,
92,1619041111095,1619041111155,7,,
93,1619041111952,1619041112014,9,-5.659722697306979e-05,0.0012305377935350086
94,1619041112844,1619041112895,2,,
95,1619041113747,1619041113813,8,0.00029447819969434497,0.0014936012380776477
96,1619041114590,1619041114661,4,-0.00020893856363824034,0.0014667476876202867
97,1619041115580,1619041115631,6,0.0001421368630291744,0.0013330826121629258
98,1619041116500,1619041116551,5,,
99,1619041117472,1619041117555,0,,
100,1619041129825,1619041129885,1,,
101,1619041130712,1619041130761,3,,
102,1619041131923,1619041131967,7,,
103,1619041132788,1619041132848,9,,
104,1619041133887,1619041133933,2,,
105,1619041134658,1619041134727,8,,
106,1619041135530,1619041135609,4,-4.084533030341089e-05,0.0015198521067055649
107,1619041136442,1619041136512,6,,
108,1619041137374,1619041137429,5,,
109,1619041138219,1619041138271,0,,
110,1619041305347,1619041305408,1,,
111,1619041306248,1619041306325,5,0.00024919493636400386,0.0016150688682482041
112,1619041307114,1619041307184,9,,
113,1619041308000,1619041308067,2,,
114,1619041308866,1619041308944,6,-0.0001016339369685814,0.0014966625827908433
115,1619041309839,1619041309907,3,-2.521671630116668e-05,0.0019123139173334823
116,1619041311719,1619041311796,4,,
117,1619041312602,1619041312679,8,,
118,1619041313346,1619041313441,7,,
119,1619041314103,1619041314176,0,,
120,1619041326653,1619041326694,1,-0.000269234069633752,0.0016870961118761213
121,1619041327335,1619041327394,5,,
122,1619041328269,1619041328340,9,-0.00040643989296633724,0.0015686898264187605
123,1619041329065,1619041329135,2,-0.00043683419529892253,0.0012366604909613997
124,1619041329853,1619041329913,6,-0.00014679392863150778,0.0011182542055040389
125,1619041330682,1619041330752,3,-0.00017718823096409306,0.001106659444046678
126,1619041331683,1619041331756,4,,
127,1619041332377,1619041332429,8,,
128,1619041333221,1619041333288,7,0.00011285203570332168,0.001522310778589317
129,1619041333911,1619041333963,0,,
130,1619041344915,1619041344969,1,,
131,1619041345608,1619041345694,5,0.0002960807823707364,0.0016175275401319562
132,1619041346480,1619041346551,9,,
133,1619041347444,1619041347507,2,0.00015887495903815112,0.0017127443016745954
134,1619041348338,1619041348424,6,,
135,1619041349488,1619041349530,3,,
136,1619041350706,1619041350779,4,,
137,1619041351575,1619041351638,8,,
138,1619041352513,1619041352590,7,,
139,1619041353290,1619041353350,0,,
140,1619041366323,1619041366381,1,,
141,1619041367141,1619041367159,5,,
142,1619041368357,1619041368400,9,,
143,1619041369357,1619041369392,2,,
144,1619041370167,1619041370248,6,0.0005557267457055659,0.0014417501262172345
145,1619041371040,1619041371097,3,,
146,1619041372014,1619041372067,4,0.0002048978723729806,0.0011707559507598735
147,1619041372714,1619041372791,8,,
148,1619041373501,1619041373580,7,,
149,1619041374148,1619041374218,0,,
150,1619041385381,1619041385431,1,6.769204904039534e-05,0.0011133848253025126
151,1619041386078,1619041386146,5,,
152,1619041386863,1619041386941,9,,
153,1619041387684,1619041387754,2,,
154,1619041388505,1619041388576,6,,
155,1619041389363,1619041389443,3,-6.951377429218993e-05,0.0013764482698451516
156,1619041390428,1619041390498,4,,
157,1619041391320,1619041391375,8,,
158,1619041392177,1619041392264,7,-0.0004203426476247752,0.0017463232343877906
159,1619041393072,1619041393139,0,,
160,1619041404592,1619041404665,1,,
161,1619041405432,1619041405503,5,,
162,1619041406262,1619041406352,9,,
163,1619041407316,1619041407357,2,,
164,1619041408194,1619041408283,6,,
165,1619041409132,1619041409209,3,-0.0005575484709573605,0.0016889521089304296
166,1619041410164,1619041410225,4,-0.0003743197242899458,0.0018452040234730688
167,1619041411106,1619041411195,8,-0.0009387716376225311,0.0017878328980157079
168,1619041412017,1619041412086,7,,
169,1619041412931,1619041412988,0,-0.0012896005109551164,0.001730461772558347
170,1619041424242,1619041424297,1,,
171,1619041425037,1619041425126,5,,
