pressStart,pressStop,label
1619046450821,1619046450887,5
1619046452125,1619046452176,4
1619046453978,1619046454037,2
1619046454304,1619046454353,1
1619046454563,1619046454629,3
1619046454873,1619046454965,6
1619046455283,1619046455375,9
1619046455889,1619046455940,7
1619046460755,1619046460810,1
1619046460969,1619046461003,5
1619046466906,1619046466979,4
1619046467114,1619046467206,3
1619046467472,1619046467537,1
1619046467914,1619046467998,9
1619046468365,1619046468431,7
1619046468841,1619046468916,0
1619046469264,1619046469322,8
1619046469590,1619046469655,5
1619046469848,1619046469915,1
1619046470025,1619046470117,3
1619046476165,1619046476208,1
1619046476424,1619046476500,3
1619046476810,1619046476918,6
1619046477170,1619046477279,6
1619046477619,1619046477711,8
1619046477975,1619046478082,8
1619046478326,1619046478460,9
1619046478696,1619046478821,2
1619046479123,1619046479206,3
1619046479616,1619046479673,7
1619046481988,1619046482085,1
1619046482432,1619046482509,1
1619046482898,1619046482972,1
1619046483310,1619046483368,1
1619046483746,1619046483821,1
1619046484179,1619046484255,1
1619046484623,1619046484690,2
1619046485058,1619046485116,2
1619046485524,1619046485600,3
1619046486467,1619046486543,3
1619046491893,1619046491991,5
1619046492328,1619046492421,4
1619046492737,1619046492855,9
1619046493192,1619046493301,7
1619046493590,1619046493690,7
1619046494028,1619046494112,7
1619046494773,1619046494838,7
1619046495277,1619046495385,0
1619046495753,1619046495845,0
1619046497341,1619046497433,0
1619046507742,1619046507824,1
1619046508059,1619046508176,2
1619046508420,1619046508546,2
1619046508790,1619046508899,4
1619046509166,1619046509315,5
1619046509559,1619046509711,7
1619046509955,1619046510071,7
1619046510338,1619046510463,7
1619046510987,1619046511102,6
1619046512205,1619046512263,3
1619046517431,1619046517520,1
1619046517739,1619046517864,2
1619046518118,1619046518242,3
1619046518478,1619046518595,4
1619046518823,1619046518957,5
1619046519224,1619046519340,6
1619046519622,1619046519722,7
1619046520033,1619046520126,8
1619046520416,1619046520542,9
1619046520893,1619046520967,1
1619046526365,1619046526496,2
1619046526673,1619046526790,1
1619046527000,1619046527151,5
1619046527419,1619046527568,8
1619046527804,1619046527979,8
1619046528223,1619046528366,0
1619046528601,1619046528777,6
1619046529013,1619046529155,3
1619046529467,1619046529626,9
1619046530744,1619046530882,9
1619046534255,1619046534361,8
1619046534572,1619046534723,8
1619046534933,1619046535101,8
1619046535344,1619046535454,8
1619046535755,1619046535864,8
1619046536155,1619046536272,8
1619046536553,1619046536653,8
1619046536960,1619046537053,8
1619046537333,1619046537416,8
1619046538499,1619046538594,8
1619046547041,1619046547172,1
1619046547804,1619046547927,6
1619046548239,1619046548356,9
1619046548647,1619046548756,5
1619046549000,1619046549126,4
1619046549427,1619046549544,0
1619046549810,1619046549927,8
1619046550193,1619046550275,5
1619046550494,1619046550586,2
1619046550804,1619046550897,1
1619046559862,1619046559960,1
1619046560111,1619046560220,3
1619046560430,1619046560547,6
1619046560707,1619046560824,4
1619046560984,1619046561093,5
1619046561270,1619046561395,2
1619046561572,1619046561681,7
1619046561883,1619046561992,8
1619046562299,1619046562391,8
1619046562923,1619046563004,4
1619046565597,1619046565694,0
1619046565829,1619046565931,9
1619046566098,1619046566215,9
1619046566333,1619046566434,6
1619046566627,1619046566728,5
1619046566913,1619046567064,2
1619046567206,1619046567323,2
1619046567475,1619046567609,3
1619046567803,1619046567920,4
1619046569109,1619046569198,1
1619046572977,1619046573101,4
1619046573278,1619046573387,8
1619046573479,1619046573614,7
1619046573656,1619046573757,5
1619046573858,1619046573967,0
1619046574042,1619046574143,2
1619046574295,1619046574378,3
1619046574670,1619046574804,6
1619046575015,1619046575124,6
1619046575208,1619046575300,1
1619046578788,1619046578877,7
1619046578978,1619046579087,8
1619046579196,1619046579289,0
1619046579373,1619046579448,5
1619046579566,1619046579659,2
1619046579759,1619046579860,1
1619046579902,1619046580012,3
1619046580154,1619046580339,6
1619046580448,1619046580566,6
1619046580768,1619046580910,3
1619046587340,1619046587455,1
1619046587572,1619046587698,2
1619046587824,1619046587942,2
1619046588060,1619046588169,4
1619046588304,1619046588413,4
1619046588581,1619046588690,5
1619046588800,1619046588901,7
1619046589027,1619046589136,7
1619046589304,1619046589464,0
1619046589699,1619046589867,8
1619046592049,1619046592197,3
1619046592323,1619046592449,6
1619046592593,1619046592701,9
1619046592828,1619046592979,1
1619046593247,1619046593405,5
1619046593523,1619046593682,4
1619046593783,1619046593951,2
1619046594085,1619046594220,8
1619046594439,1619046594606,3
1619046594842,1619046594967,6
1619046627477,1619046627599,4
1619046627701,1619046627793,5
1619046627885,1619046628003,2
1619046630694,1619046630817,1
1619046631069,1619046631178,3
1619046631270,1619046631396,3
1619046631573,1619046631732,4
1619046631816,1619046631959,6
1619046632076,1619046632211,8
1619046632404,1619046632538,8
1619046638770,1619046638858,5
1619046638951,1619046639052,5
1619046639136,1619046639270,5
1619046639380,1619046639489,5
1619046639608,1619046639707,5
1619046639902,1619046640019,3
1619046640154,1619046640280,6
1619046640414,1619046640531,6
1619046640649,1619046640800,6
1619046641430,1619046641554,6
1619046647410,1619046647531,4
1619046647582,1619046647742,6
1619046647851,1619046647969,7
1619046648154,1619046648271,7
1619046648431,1619046648523,7
1619046648667,1619046648775,7
1619046648995,1619046649095,0
1619046649463,1619046649581,0
1619046649848,1619046649947,0
1619046650269,1619046650343,2
1619046656038,1619046656194,1
1619046656295,1619046656447,9
1619046656556,1619046656715,9
1619046656892,1619046657026,2
1619046657160,1619046657312,2
1619046657463,1619046657563,3
1619046657698,1619046657866,3
1619046657942,1619046658118,3
1619046658278,1619046658387,3
1619046659091,1619046659263,9
