,pressStart,pressStop,label,mean gyro(y),mean gyro(z)
0,1619046450821,1619046450887,5,,
1,1619046452125,1619046452176,4,,
2,1619046453978,1619046454037,2,0.003914806528350694,0.002289546877608507
3,1619046454304,1619046454353,1,,
4,1619046454563,1619046454629,3,0.009477562356701387,0.004884269535217014
5,1619046454873,1619046454965,6,0.012782017385052082,0.0074789921928255215
6,1619046455283,1619046455375,9,0.017978562213402775,0.010317855480434028
7,1619046455889,1619046455940,7,0.021038876641753468,0.012973613298042535
8,1619046460755,1619046460810,1,,
9,1619046460969,1619046461003,5,,
10,1619046466906,1619046466979,4,,
11,1619046467114,1619046467206,3,,
12,1619046467472,1619046467537,1,,
13,1619046467914,1619046467998,9,,
14,1619046468365,1619046468431,7,0.021001656860104162,0.015568335955651042
15,1619046468841,1619046468916,0,,
16,1619046469264,1619046469322,8,,
17,1619046469590,1619046469655,5,,
18,1619046469848,1619046469915,1,,
19,1619046470025,1619046470117,3,,
20,1619046476165,1619046476208,1,,
21,1619046476424,1619046476500,3,0.028181844388454856,0.01810202345925955
22,1619046476810,1619046476918,6,0.058204438916805545,0.020086394556868056
23,1619046477170,1619046477279,6,0.08779978744515624,0.021826625004476564
24,1619046477619,1619046477711,8,,
25,1619046477975,1619046478082,8,0.10677501797350693,0.02460445313208507
26,1619046478326,1619046478460,9,0.1349055225018576,0.026955035169693577
27,1619046478696,1619046478821,2,0.1437336590302083,0.029671828137302084
28,1619046479123,1619046479206,3,0.16655410555855898,0.031961375014910594
29,1619046479616,1619046479673,7,,
30,1619046481988,1619046482085,1,0.16659317971990967,0.034327215842519104
31,1619046482432,1619046482509,1,,
32,1619046482898,1619046482972,1,,
33,1619046483310,1619046483368,1,,
34,1619046483746,1619046483821,1,0.16669328903726036,0.03675409182312761
35,1619046484179,1619046484255,1,,
36,1619046484623,1619046484690,2,,
37,1619046485058,1619046485116,2,0.16819720696561105,0.03905889749073612
38,1619046485524,1619046485600,3,,
39,1619046486467,1619046486543,3,,
40,1619046491893,1619046491991,5,,
41,1619046492328,1619046492421,4,0.16829731628296174,0.04142473831834463
42,1619046492737,1619046492855,9,0.19569539881131243,0.04385161429895314
43,1619046493192,1619046493301,7,,
44,1619046493590,1619046493690,7,,
45,1619046494028,1619046494112,7,,
46,1619046494773,1619046494838,7,,
47,1619046495277,1619046495385,0,,
48,1619046495753,1619046495845,0,0.19597861359966312,0.04609538480656165
49,1619046497341,1619046497433,0,0.21318382512801382,0.018889692154170155
50,1619046507742,1619046507824,1,0.2134060047563645,0.021682779071778662
51,1619046508059,1619046508176,2,0.2213186142847152,0.02447586598938717
